Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
SR59TM,2024-02-21 04:25:15,Estagiário,JavaScript; Go; C++; Swift; Ruby,Livros; Pós-graduação; Blogs/Artigos; Graduação; Mentoria,Times grandes; Freelancer; Laboratório; Presencial,GitLab; Bitbucket; Jupyter; Kubernetes,Uso para depurar,Resolver problemas; Pesquisa,Bugs difíceis; Ferramentas novas,Node.js; Cloud AWS; Cloud GCP; DevOps; Swift,Remuneração; Curiosidade; Impacto social
IJ77OC,2024-01-21 10:20:59,Desenvolvedor Júnior,SQL; Kotlin; Python,Bootcamp; Livros,Open source; Governo; Times grandes; Laboratório; Empresa grande,GitLab; AWS; PyCharm,Uso para revisar código,Resolver problemas; Carreira; Estabilidade; Inovação; Autonomia,Mudanças constantes; Deploy; Falta de requisitos; Gerenciar tempo; Comunicação,Swift; IA/ML; Node.js; Cloud Azure; Cloud GCP,Ensinar; Mercado aquecido; Reconhecimento
QA22TR,2024-12-12 11:42:58,QA/Testes,Kotlin; TypeScript,Cursos online; Cursos presenciais,Startup; Academia; Governo,AWS; Eclipse,Uso em produção,Dinheiro; Pesquisa; Autonomia; Carreira; Aprender,Escalabilidade; Infraestrutura; Bugs difíceis,Cloud AWS; Cloud Azure; React; DevOps,Curiosidade; Impacto social
SI04FV,2024-02-14 01:32:03,DevOps/Infra,Swift; R,Livros; Projetos pessoais; Bootcamp,Laboratório; Times pequenos; Open source; Clima flexível,Kubernetes; AWS; IntelliJ,Uso para documentação,Ensinar; Autonomia; Reconhecimento,Segurança; Complexidade do código; Falta de requisitos,DevOps; React; Go; Cloud GCP; IA/ML,Pesquisa; Desafios; Trabalho remoto; Ensinar
GE22LQ,2024-04-15 13:55:34,Professor,JavaScript; PHP; TypeScript; SQL; Java,Livros; Tutoriais YouTube; Comunidades/Fóruns; Mentoria; Blogs/Artigos,Times pequenos; Clima flexível; Open source,GitLab; Docker,Uso para documentação,Inovação; Carreira,Mudanças constantes; Escalabilidade; Débito técnico,Kubernetes; Rust; Cloud GCP; Node.js,Impacto social; Remuneração; Trabalho remoto; Flexibilidade
SL91ZB,2024-02-11 04:05:55,Estagiário,Ruby; Go; Kotlin; C++,Pós-graduação; Comunidades/Fóruns; Livros,Laboratório; Open source; Remoto,GCP; IntelliJ; Jupyter; Figma,Uso para gerar código,Autonomia; Resolver problemas; Ensinar; Impacto; Reconhecimento,Bugs difíceis; Escalabilidade; Dados ruins; Segurança,DevOps; Swift; Rust,Paixão; Flexibilidade
BA12FP,2024-10-24 07:16:56,Cientista de Dados,Python; C#,Bootcamp; Graduação; Pós-graduação,Multinacional; Presencial; Freelancer; Academia,IntelliJ; Eclipse; VS Code,Uso semanalmente,Ensinar; Resolver problemas; Aprender; Estabilidade,Infraestrutura; Deploy; Documentação,DevOps; Cloud Azure,Flexibilidade; Boas oportunidades; Crescimento pessoal; Ensinar
VD17TS,2024-04-26 07:36:50,DevOps/Infra,Ruby; PHP; Go; Swift; Python,Cursos presenciais; Graduação; Cursos online; Trabalho/Prática,Governo; Clima flexível,AWS; IntelliJ; VS Code,Uso para documentação,Estabilidade; Pesquisa; Reconhecimento; Desafio; Carreira,Escalabilidade; Comunicação; Infraestrutura; Débito técnico,Data Science; Go; Kubernetes; Cloud AWS,Impacto social; Trabalho remoto; Paixão
JY95AV,2024-01-07 06:54:48,Desenvolvedor Sênior,Rust; R; JavaScript; Ruby,Trabalho/Prática; Livros; Tutoriais YouTube; Hackathons; Documentação oficial,Times pequenos; Academia; Laboratório; Times grandes,PyCharm; IntelliJ; Kubernetes; Docker,Uso para revisar código,Reconhecimento; Autonomia; Impacto,Infraestrutura; Falta de requisitos; Deploy; Escalabilidade; Documentação,Kotlin; Cloud GCP; Flutter; Swift; Data Science,Ensinar; Empreender
IY01JT,2024-07-31 10:50:26,Outro,PHP; Kotlin,Projetos pessoais; Cursos online; Tutoriais YouTube; Trabalho/Prática; Graduação,Presencial; Remoto; Híbrido; Freelancer; Startup,Docker; GitHub; AWS,Uso em produção,Estabilidade; Carreira; Propósito; Dinheiro,Gerenciar tempo; Infraestrutura,Cloud AWS; IA/ML; DevOps; Node.js; Kubernetes,Desafios; Empreender
IX87VB,2024-07-01 20:19:51,Desenvolvedor Júnior,Ruby; R,Documentação oficial; Comunidades/Fóruns; Tutoriais YouTube; Blogs/Artigos,Multinacional; Startup; Governo,PyCharm; Azure,Uso em produção,Pesquisa; Desafio,Infraestrutura; Teste/QA; Bugs difíceis; Falta de requisitos,Blockchain; Cloud AWS; Swift; React,Remuneração; Pesquisa; Comunidade; Flexibilidade; Empreender
TA50VM,2024-08-09 22:41:25,UX/UI,C++; Swift; Kotlin; TypeScript; Go,Trabalho/Prática; Livros; Mentoria,Freelancer; Consultoria; Open source; Clima flexível,Kubernetes; AWS; Jupyter,Uso diariamente,Carreira; Estabilidade; Desafio,Infraestrutura; Falta de requisitos; Débito técnico,Flutter; IA/ML; Kubernetes; Cloud GCP,Paixão; Flexibilidade; Impacto social
HZ29BZ,2024-03-14 20:42:28,Pesquisador,Go; Swift; Rust; SQL; JavaScript,Livros; Hackathons; Comunidades/Fóruns,Academia; Clima flexível; Laboratório; Times pequenos; Governo,Eclipse; IntelliJ; VS Code; Bitbucket,Uso para ideias,Autonomia; Desafio; Aprender,Mudanças constantes; Escalabilidade; Segurança; Dados ruins; Falta de requisitos,Node.js; Cloud Azure; Cloud GCP; Flutter,Remuneração; Curiosidade; Mercado aquecido; Boas oportunidades
YY17TO,2024-02-17 10:26:29,Desenvolvedor Sênior,Swift; C++; C#; PHP; Python,Cursos presenciais; Pós-graduação; Trabalho/Prática,Freelancer; Remoto; Presencial; Empresa grande; Governo,Docker; GitLab,Uso diariamente,Aprender; Autonomia,Escalabilidade; Teste/QA; Débito técnico; Bugs difíceis; Complexidade do código,Cloud AWS; Rust; Data Science,Reconhecimento; Ensinar; Comunidade; Paixão
GE22LQ,2024-04-15 13:55:34,Professor,JavaScript; PHP; TypeScript; SQL; Java,Livros; Tutoriais YouTube; Comunidades/Fóruns; Mentoria; Blogs/Artigos,Times pequenos; Clima flexível; Open source,GitLab; Docker,Uso para documentação,Inovação; Carreira,Mudanças constantes; Escalabilidade; Débito técnico,Kubernetes; Rust; Cloud GCP; Node.js,Impacto social; Remuneração; Trabalho remoto; Flexibilidade
VU30SQ,2024-01-21 14:20:17,Analista de Dados,C#; TypeScript; Kotlin,Mentoria; Documentação oficial; Hackathons; Cursos online; Outros,Presencial; Híbrido; Remoto,GitLab; VS Code; PyCharm; Docker,Uso para gerar código,Ensinar; Reconhecimento,Falta de requisitos; Deploy,Node.js; Kotlin; Cloud AWS; Go,Flexibilidade; Boas oportunidades; Remuneração; Empreender; Impacto social
HF89WT,2024-01-02 05:48:17,Analista de Dados,Go; Rust,Projetos pessoais; Graduação; Cursos online,Multinacional; Empresa grande; Governo; Laboratório; Consultoria,GCP; Jupyter; Kubernetes,Uso para testes,Ensinar; Carreira; Dinheiro,Deploy; Ferramentas novas; Segurança; Dados ruins,Swift; DevOps; Go; Rust; Cloud GCP,Boas oportunidades; Curiosidade
SO24VJ,2024-12-31 18:58:05,Analista de Dados,Dart; TypeScript; Go; Ruby; SQL,Tutoriais YouTube; Livros; Documentação oficial; Hackathons; Projetos pessoais,Presencial; Multinacional; Academia; Startup; Times pequenos,GitHub; Eclipse; Azure,Uso diariamente,Ensinar; Pesquisa; Reconhecimento; Comunidade,Deploy; Falta de requisitos; Comunicação; Infraestrutura,Rust; Data Science; Go,Desafios; Empreender; Ensinar; Trabalho remoto; Impacto social
NV23JK,2024-08-07 10:12:07,Desenvolvedor Pleno,C++; Swift; JavaScript,Cursos presenciais; Tutoriais YouTube,Laboratório; Academia; Open source; Remoto; Consultoria,GitHub; IntelliJ,Uso raramente,Propósito; Comunidade; Estabilidade; Criatividade; Autonomia,Dados ruins; Mudanças constantes,Cloud Azure; Blockchain,Desafios; Paixão; Curiosidade; Comunidade; Reconhecimento
WQ77FL,2024-03-29 17:42:52,Analista de Dados,R; Go; TypeScript; SQL,Documentação oficial; Tutoriais YouTube,Consultoria; Empresa grande; Freelancer; Presencial,PyCharm; Figma; Bitbucket; GitLab; Docker,Uso raramente,Inovação; Impacto; Reconhecimento; Aprender,Deploy; Complexidade do código; Infraestrutura; Bugs difíceis,Node.js; Flutter; IA/ML; Cloud GCP; Swift,Crescimento pessoal; Curiosidade; Trabalho remoto; Remuneração
EK34SK,2024-11-04 03:58:15,UX/UI,Java; SQL; Swift; C#,Tutoriais YouTube; Comunidades/Fóruns; Livros; Blogs/Artigos; Projetos pessoais,Academia; Times grandes; Startup; Laboratório; Híbrido,AWS; Azure; GitLab; GitHub; Eclipse,Uso em produção,Dinheiro; Criatividade,Comunicação; Segurança,DevOps; Go,Mercado aquecido; Curiosidade; Paixão; Crescimento pessoal; Pesquisa
HX67FM,2024-10-22 21:03:26,QA/Testes,PHP; JavaScript,Comunidades/Fóruns; Hackathons,Laboratório; Open source; Presencial; Empresa grande,AWS; VS Code; Kubernetes,Nunca uso,Estabilidade; Desafio,Infraestrutura; Bugs difíceis; Escalabilidade; Dados ruins; Comunicação,IA/ML; Blockchain; Cloud GCP; Data Science; Cloud AWS,Comunidade; Pesquisa; Flexibilidade; Ensinar
BB32RU,2024-05-27 09:43:21,Desenvolvedor Sênior,Dart; Java; Kotlin,Cursos presenciais; Graduação; Documentação oficial; Blogs/Artigos; Mentoria,Consultoria; Open source; Times grandes; Híbrido; Academia,Azure; Kubernetes; GCP,Uso para depurar,Criatividade; Inovação; Desafio; Pesquisa,Complexidade do código; Falta de requisitos; Documentação,Flutter; Data Science; DevOps; Go,Comunidade; Reconhecimento; Pesquisa
ZL02EI,2024-08-31 02:41:36,UX/UI,Python; Go,Hackathons; Cursos online; Mentoria; Trabalho/Prática; Documentação oficial,Startup; Híbrido; Open source; Times grandes,Bitbucket; VS Code; Jupyter; AWS,Treino modelos,Resolver problemas; Inovação; Autonomia,Documentação; Complexidade do código; Deploy; Ferramentas novas; Teste/QA,Data Science; IA/ML,Impacto social; Crescimento pessoal
JG96XX,2024-09-03 04:06:35,Outro,SQL; C++; Rust; PHP; Kotlin,Projetos pessoais; Pós-graduação; Graduação; Documentação oficial,Multinacional; Governo; Times pequenos,Bitbucket; Figma; Eclipse,Uso para depurar,Ensinar; Aprender; Criatividade; Reconhecimento; Resolver problemas,Documentação; Débito técnico; Teste/QA; Bugs difíceis; Complexidade do código,Rust; Swift; Flutter; Cloud GCP; Data Science,Impacto social; Ensinar; Boas oportunidades; Desafios; Mercado aquecido
GP44CP,2024-04-05 00:53:31,Outro,Kotlin; Swift; Rust; C#,Graduação; Outros,Consultoria; Freelancer,IntelliJ; Bitbucket,Nunca uso,Criatividade; Resolver problemas; Aprender; Propósito,Débito técnico; Dados ruins; Deploy; Falta de requisitos; Teste/QA,Rust; Flutter; Swift,Reconhecimento; Paixão; Curiosidade; Desafios
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
KH77NJ,2024-10-01 00:44:29,Analista de Dados,C++; Java; Rust; TypeScript; Python,Outros; Hackathons; Livros; Tutoriais YouTube,Academia; Consultoria; Remoto; Híbrido,Bitbucket; Docker; Azure; GCP,Crio prompts avançados,Criatividade; Carreira; Propósito; Resolver problemas,Deploy; Teste/QA; Infraestrutura; Ferramentas novas,Flutter; Kotlin; Swift,Remuneração; Crescimento pessoal; Comunidade
SC22ZH,2024-06-29 07:22:43,Estudante,R; Java,Blogs/Artigos; Bootcamp,Clima flexível; Consultoria; Freelancer; Laboratório,PyCharm; Bitbucket,Treino modelos,Aprender; Propósito,Deploy; Dados ruins; Débito técnico,DevOps; Rust; Swift; Cloud GCP,Crescimento pessoal; Empreender
LN70QI,2024-02-23 12:07:56,Estagiário,Go; TypeScript; SQL,Pós-graduação; Blogs/Artigos,Freelancer; Empresa grande; Academia; Presencial; Híbrido,Jupyter; GitHub; GitLab; Docker,Uso para revisar código,Impacto; Inovação; Propósito,Documentação; Comunicação; Débito técnico; Infraestrutura; Escalabilidade,Blockchain; Rust; Go; Kotlin; DevOps,Flexibilidade; Mercado aquecido
LS72ZQ,2024-04-25 18:50:26,Outro,R; Ruby; Kotlin; Rust,Trabalho/Prática; Cursos presenciais,Freelancer; Open source; Consultoria; Academia,GitLab; Figma; VS Code; GitHub; GCP,Uso para depurar,Criatividade; Impacto,Dados ruins; Mudanças constantes; Infraestrutura,Kubernetes; Rust; Cloud Azure; Go; Kotlin,Paixão; Trabalho remoto; Flexibilidade
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
SE63GR,2024-02-24 22:53:04,Pesquisador,Kotlin; Swift; C++; Ruby; Java,Tutoriais YouTube; Bootcamp; Graduação; Cursos online,Times grandes; Laboratório; Clima flexível,Jupyter; GitHub; Bitbucket,Crio prompts avançados,Dinheiro; Resolver problemas; Carreira; Inovação; Propósito,Segurança; Gerenciar tempo; Infraestrutura; Falta de requisitos; Deploy,Cloud AWS; DevOps; React; Node.js; Cloud GCP,Mercado aquecido; Impacto social
UH76DM,2024-06-16 21:52:21,Pesquisador,Dart; Swift; Kotlin; Java,Trabalho/Prática; Cursos presenciais; Documentação oficial; Comunidades/Fóruns,Open source; Times grandes; Laboratório,Vim/Neovim; Azure; Bitbucket; Docker; PyCharm,Treino modelos,Inovação; Criatividade; Autonomia; Impacto; Comunidade,Complexidade do código; Gerenciar tempo; Mudanças constantes; Bugs difíceis; Ferramentas novas,Kotlin; Blockchain; Flutter,Reconhecimento; Flexibilidade; Remuneração
NY19NA,2024-01-26 10:14:29,Desenvolvedor Pleno,R; Swift; TypeScript,Pós-graduação; Comunidades/Fóruns,Consultoria; Times pequenos; Híbrido; Multinacional; Times grandes,VS Code; Kubernetes; GitHub,Uso para revisar código,Resolver problemas; Ensinar,Débito técnico; Documentação,Go; Data Science; Swift; Cloud Azure,Impacto social; Reconhecimento; Flexibilidade; Comunidade
CF48LB,2024-02-17 07:21:52,Desenvolvedor Sênior,Go; Java; C#; Rust; C++,Blogs/Artigos; Trabalho/Prática; Mentoria; Cursos presenciais; Tutoriais YouTube,Consultoria; Remoto; Presencial,Bitbucket; GitHub; GCP,Uso diariamente,Reconhecimento; Desafio; Propósito,Ferramentas novas; Dados ruins; Falta de requisitos,Kotlin; Data Science; Swift; Rust,Comunidade; Desafios; Impacto social; Ensinar
YX98LI,2024-02-22 20:46:46,Outro,Dart; Python,Graduação; Hackathons,Freelancer; Consultoria; Startup; Governo,PyCharm; Eclipse; IntelliJ,Uso com copilotos,Inovação; Criatividade,Complexidade do código; Comunicação; Gerenciar tempo; Bugs difíceis,Rust; IA/ML; Go; Cloud Azure,Remuneração; Pesquisa; Mercado aquecido; Comunidade; Curiosidade
IC68CE,2024-07-28 02:24:30,Cientista de Dados,Go; Swift,Mentoria; Comunidades/Fóruns; Tutoriais YouTube; Bootcamp; Cursos online,Governo; Remoto; Freelancer; Laboratório; Times grandes,Jupyter; Azure; PyCharm; Kubernetes; GitLab,Uso em produção,Criatividade; Pesquisa; Reconhecimento,Débito técnico; Teste/QA; Falta de requisitos; Bugs difíceis,Cloud Azure; Rust; Kotlin; Data Science; Go,Desafios; Reconhecimento; Paixão
AM08BL,2024-04-22 06:21:17,Desenvolvedor Pleno,JavaScript; C++; Java; R; Ruby,Tutoriais YouTube; Hackathons; Cursos online,Clima flexível; Times grandes; Academia; Híbrido; Governo,Jupyter; Vim/Neovim; GCP; Eclipse; Kubernetes,Uso diariamente,Propósito; Pesquisa; Comunidade; Carreira,Ferramentas novas; Comunicação; Dados ruins,IA/ML; React; Cloud Azure,Impacto social; Boas oportunidades; Remuneração; Ensinar; Comunidade
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
UL84DM,2024-09-10 17:52:40,Estudante,TypeScript; Dart,Comunidades/Fóruns; Outros,Times pequenos; Híbrido,Figma; AWS; Bitbucket; Eclipse,Uso com copilotos,Criatividade; Ensinar; Aprender; Dinheiro; Pesquisa,Mudanças constantes; Documentação; Teste/QA; Segurança,Flutter; Kotlin; DevOps; Blockchain; Rust,Curiosidade; Ensinar
SB76KN,2024-07-01 14:40:03,Professor,JavaScript; SQL; TypeScript; C++; Rust,Projetos pessoais; Hackathons,Open source; Times grandes,Vim/Neovim; GitLab,Uso para documentação,Criatividade; Comunidade,Infraestrutura; Documentação; Complexidade do código; Segurança; Débito técnico,React; Node.js; Swift; Data Science,Crescimento pessoal; Impacto social; Comunidade
SF65KY,2024-08-25 02:37:35,Pesquisador,Kotlin; Java,Mentoria; Cursos presenciais; Trabalho/Prática; Bootcamp; Documentação oficial,Remoto; Academia; Startup; Clima flexível; Híbrido,Azure; Jupyter,Crio prompts avançados,Pesquisa; Inovação; Estabilidade,Falta de requisitos; Gerenciar tempo; Comunicação,React; Cloud AWS,Flexibilidade; Mercado aquecido; Empreender; Comunidade; Paixão
GQ08AJ,2024-05-02 21:44:20,Desenvolvedor Júnior,R; Dart; Kotlin; TypeScript; PHP,Hackathons; Livros; Outros,Remoto; Governo,VS Code; Vim/Neovim,Uso diariamente,Ensinar; Aprender,Mudanças constantes; Falta de requisitos; Deploy; Escalabilidade; Dados ruins,Kubernetes; Flutter; Blockchain; Data Science; Kotlin,Desafios; Curiosidade; Reconhecimento
EG60PQ,2024-08-20 05:08:33,Professor,Dart; TypeScript; SQL; Kotlin; Rust,Trabalho/Prática; Pós-graduação; Outros; Cursos presenciais; Blogs/Artigos,Governo; Open source; Consultoria; Híbrido; Laboratório,Azure; AWS; GitHub; Vim/Neovim; PyCharm,Uso para documentação,Resolver problemas; Impacto; Dinheiro; Pesquisa; Carreira,Ferramentas novas; Dados ruins,Cloud Azure; Blockchain; Cloud AWS; DevOps,Mercado aquecido; Boas oportunidades; Pesquisa; Ensinar; Remuneração
DO95XV,2024-04-09 19:08:05,Outro,SQL; C++; Ruby; PHP; JavaScript,Cursos presenciais; Graduação; Hackathons; Pós-graduação; Trabalho/Prática,Times pequenos; Clima flexível; Academia; Freelancer; Híbrido,VS Code; Vim/Neovim; AWS; PyCharm; Kubernetes,Uso para revisar código,Autonomia; Comunidade; Estabilidade; Criatividade,Deploy; Comunicação,IA/ML; Swift; Go; DevOps; Node.js,Comunidade; Curiosidade; Reconhecimento
HG76XT,2024-09-12 23:46:33,DevOps/Infra,SQL; Java; C++; Ruby,Livros; Graduação; Hackathons,Freelancer; Híbrido,Azure; Bitbucket; IntelliJ,Crio prompts avançados,Inovação; Comunidade; Ensinar; Propósito; Dinheiro,Escalabilidade; Deploy; Débito técnico; Comunicação; Teste/QA,IA/ML; Kotlin; Cloud GCP; Data Science,Mercado aquecido; Flexibilidade
JF07TR,2024-10-02 10:12:08,Cientista de Dados,JavaScript; R; Kotlin,Hackathons; Projetos pessoais; Pós-graduação; Outros,Freelancer; Remoto; Empresa grande; Open source; Governo,VS Code; Eclipse; GCP,Uso para documentação,Propósito; Carreira,Débito técnico; Mudanças constantes; Comunicação; Deploy; Teste/QA,Data Science; Swift; Cloud AWS,Mercado aquecido; Desafios
XM50SS,2024-12-24 04:33:38,Estagiário,TypeScript; Ruby; PHP; C#; Kotlin,Cursos online; Documentação oficial; Bootcamp; Comunidades/Fóruns; Livros,Governo; Laboratório; Híbrido,GCP; IntelliJ,Uso para ideias,Ensinar; Reconhecimento,Complexidade do código; Mudanças constantes; Débito técnico; Ferramentas novas; Falta de requisitos,React; Go; Kotlin; Flutter; IA/ML,Trabalho remoto; Curiosidade; Pesquisa; Remuneração
GX88RP,2024-06-02 07:55:11,Desenvolvedor Sênior,Rust; C#,Pós-graduação; Blogs/Artigos,Startup; Laboratório; Remoto; Times pequenos; Clima flexível,GitLab; Figma,Uso para gerar código,Aprender; Reconhecimento; Desafio; Estabilidade; Carreira,Ferramentas novas; Teste/QA,Go; Kotlin; Blockchain,Ensinar; Curiosidade; Boas oportunidades; Impacto social
TP72NL,2024-06-20 22:27:31,Desenvolvedor Sênior,C++; Kotlin; R; Python; SQL,Hackathons; Pós-graduação,Empresa grande; Consultoria; Híbrido,Eclipse; IntelliJ; AWS,Uso raramente,Aprender; Comunidade; Pesquisa,Falta de requisitos; Gerenciar tempo; Comunicação; Dados ruins; Escalabilidade,Data Science; Kotlin; Cloud Azure; Cloud GCP; Node.js,Impacto social; Curiosidade; Remuneração
